Altium Designer Pick and Place Locations
C:\Users\Marcus\Documents\ETH\Altium SVN\CRS RC car v00P3\PCB Project Outputs\Pick Place\Pick Place for Main.txt

========================================================================================================================
File Design Information:

Date:       04/02/22
Time:       11:01
Revision:   362
Variant:    No variations
Units used: mm

Designator Comment                                                 Layer       Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                 
U9         SN74LV1T34                                              BottomLayer SOT23-5-N                        40.5500      110.4000     180      "Single Power Supply Single Buffer GATE CMOS Logic Level Shifter"                                           
C51        0.1uF                                                   BottomLayer CAP_0603i_1608m_-N               36.9250      111.3500     270      capacitor                                                                                                   
W1         Jumper                                                  BottomLayer RES_0603i_1608m_-N               37.7000      114.8500     180      "Jumper Wire"                                                                                               
R62        18k                                                     BottomLayer RES_0603i_1608m_-N               44.4750      114.8250     180      Resistor                                                                                                    
R30        1.4k                                                    BottomLayer RES_0603i_1608m_-N               41.2750      114.8250     360      Resistor                                                                                                    
R29        1k                                                      TopLayer    RES_0603i_1608m_-N               59.0750      111.0500     90       Resistor                                                                                                    
R27        1k                                                      TopLayer    RES_0603i_1608m_-N               65.9750      111.0500     90       Resistor                                                                                                    
R22        1k                                                      TopLayer    RES_0603i_1608m_-N               36.7000      114.0500     90       Resistor                                                                                                    
R21        1k                                                      TopLayer    RES_0603i_1608m_-N               35.3750      141.1500     180      Resistor                                                                                                    
P3         "Tag-Connect TC2050-IDC-NL"                             TopLayer    TAG-CONNECT_TC2050-IDC-NL_10-Pin 52.3000      118.8850     360      "10-pin pogo pin programing port"                                                                           
U6         TLV6713                                                 TopLayer    SOT23-6-N                        52.3000      127.0250     90       "Voltage comparator"                                                                                        
Y1         32768Hz                                                 TopLayer    ECX-12RR                         32.0250      131.4750     90       "Crystal Oscillator"                                                                                        
C53        4.3nF                                                   TopLayer    CAP_0603i_1608m_-N               30.3000      130.0750     270      capacitor                                                                                                   
C52        4.3nF                                                   TopLayer    CAP_0603i_1608m_-N               30.3250      133.0750     270      capacitor                                                                                                   
U8         SN74LV1T34                                              BottomLayer SOT23-5-N                        55.5000      110.2500     180      "Single Power Supply Single Buffer GATE CMOS Logic Level Shifter"                                           
R26        330R                                                    BottomLayer RES_0603_1608m_-L                52.3000      110.2750     0        Resistor                                                                                                    
R28        330R                                                    BottomLayer RES_0603_1608m_-L                55.4500      107.9000     180      Resistor                                                                                                    
P5         "JST_SH/SR 3POS 1MM - Side entry"                       BottomLayer JST_SH/SR_3POS_1MM_-_Side_entry  62.5500      109.2125     180      "JST SM04B-SRSS-TB same footprint between SR/SZ and SH series"                                              
C41        0.1uF                                                   BottomLayer CAP_0603i_1608m_-N               58.4750      110.2500     270      capacitor                                                                                                   
C40        1uF                                                     BottomLayer CAP_0603i_1608m_-N               61.3750      113.5500     270      capacitor                                                                                                   
D8         BZX84J-B12,115                                          TopLayer    SOD-323F                         57.6000      127.6250     360      "Schottky Diode"                                                                                            
U5         LMV358QDDUR                                             TopLayer    8-VFSOP_(0.091",_2.30mm_Width)   46.0500      128.5000     90       "General Purpose Amplifier 2 Circuit Rail-to-Rail 8-VSSOP"                                                  
S1         "SW SPDT"                                               TopLayer    WS-SLS                           66.3500      117.5250     270      "Single-Pole, Double-Throw Switch"                                                                          
S4         "SW PB"                                                 TopLayer    WS-TASV                          49.5500      110.8500     90       Switch                                                                                                      
S3         "SW PB"                                                 TopLayer    WS-TASV                          34.4750      148.5750     180      Switch                                                                                                      
S2         "SW PB"                                                 TopLayer    WS-TASV                          34.4750      108.7500     360      Switch                                                                                                      
U7         "NB: this pinout is only true for the UFQFPN32 model!!" TopLayer    QFN50P500X500X60_HS-33N          37.3500      129.7250     360      "ARM Cortex-M0+ series Microcontroller IC 32-Bit 32MHz 16KB (16K x 8) FLASH"                                
R60        0Ohm                                                    TopLayer    RES_0603i_1608m_-N               53.5500      113.9000     180      Resistor                                                                                                    
R59        0Ohm                                                    TopLayer    RES_0603i_1608m_-N               56.5250      113.9000     360      Resistor                                                                                                    
R58        0Ohm                                                    TopLayer    RES_0603i_1608m_-N               31.1250      123.6250     360      Resistor                                                                                                    
R57        0Ohm                                                    TopLayer    RES_0603i_1608m_-N               37.5000      141.9750     270      Resistor                                                                                                    
R56        100                                                     BottomLayer RES_0603i_1608m_-N               53.0000      115.6500     180      Resistor                                                                                                    
R55        1.4k                                                    BottomLayer RES_0603i_1608m_-N               58.7750      114.8000     90       Resistor                                                                                                    
R54        10k                                                     TopLayer    RES_0603i_1608m_-N               40.3500      133.7000     360      Resistor                                                                                                    
R53        NP                                                      TopLayer    RES_0603i_1608m_-N               37.3250      133.7000     180      Resistor                                                                                                    
Q5         BSS138                                                  BottomLayer SOT23-N                          56.1445      114.8061     270      "N-Channel MOSFET"                                                                                          
P9         "JST_SH/SR 3POS 1MM - Side entry"                       TopLayer    JST_SH/SR_3POS_1MM_-_Side_entry  55.6500      109.2125     360      "JST SM04B-SRSS-TB same footprint between SR/SZ and SH series"                                              
P8         "JST_SH/SR 3POS 1MM - Side entry"                       TopLayer    JST_SH/SR_3POS_1MM_-_Side_entry  62.5500      109.2125     360      "JST SM04B-SRSS-TB same footprint between SR/SZ and SH series"                                              
P7         "JST_SH/SR 3POS 1MM - Side entry"                       TopLayer    JST_SH/SR_3POS_1MM_-_Side_entry  31.8875      114.1500     270      "JST SM04B-SRSS-TB same footprint between SR/SZ and SH series"                                              
P6         "JST_SH/SR 3POS 1MM - Side entry"                       TopLayer    JST_SH/SR_3POS_1MM_-_Side_entry  31.8875      143.2500     270      "JST SM04B-SRSS-TB same footprint between SR/SZ and SH series"                                              
D7         ""                                                      TopLayer    LED_0603i_1608m-n                60.2750      116.1750     270      LED                                                                                                         
C50        10nF                                                    TopLayer    CAP_0603i_1608m_-N               53.5500      115.4000     180      capacitor                                                                                                   
C49        10nF                                                    TopLayer    CAP_0603i_1608m_-N               56.5250      115.4000     360      capacitor                                                                                                   
C48        10nF                                                    TopLayer    CAP_0603i_1608m_-N               31.1250      125.1250     360      capacitor                                                                                                   
C47        10nF                                                    TopLayer    CAP_0603i_1608m_-N               39.0000      141.9750     270      capacitor                                                                                                   
C46        1uF                                                     TopLayer    CAP_0603i_1608m_-N               52.4000      111.7750     90       capacitor                                                                                                   
C45        1uF                                                     TopLayer    CAP_0603i_1608m_-N               62.6250      113.7500     180      capacitor                                                                                                   
C44        1uF                                                     TopLayer    CAP_0603i_1608m_-N               35.9000      111.7250     360      capacitor                                                                                                   
C43        1uF                                                     TopLayer    CAP_0603i_1608m_-N               35.8250      145.5250     180      capacitor                                                                                                   
C42        0.1uF                                                   TopLayer    CAP_0603i_1608m_-N               40.9750      128.2250     90       capacitor                                                                                                   
C39        0.1uF                                                   TopLayer    CAP_0603i_1608m_-N               39.6750      111.7250     360      capacitor                                                                                                   
C35        0.1uF                                                   TopLayer    CAP_0603i_1608m_-N               34.9500      134.1750     90       capacitor                                                                                                   
C34        0.1uF                                                   TopLayer    CAP_0603i_1608m_-N               31.1250      126.6250     180      capacitor                                                                                                   
C29        10uF                                                    TopLayer    CAP_0603i_1608m_-N               31.9250      134.2500     90       capacitor                                                                                                   
C18        0.1uF                                                   TopLayer    CAP_0603i_1608m_-N               44.0500      129.2500     270      capacitor                                                                                                   
P1         "Header 3X2"                                            TopLayer    1.27mm_HDR_2X3_THT_-_KEY         44.1600      111.5200     270      "Header, 3-Pin, Dual row"                                                                                   
Q1         MOSFET-P-Power_2                                        TopLayer    PowerPak_SO-8                    56.0096      133.9750     360      "Power P-Channel MOSFET + pad"                                                                              
R52        100k                                                    TopLayer    RES_0603i_1608m_-N               49.7500      127.8500     270      Resistor                                                                                                    
R51        10                                                      TopLayer    RES_0603i_1608m_-N               57.0750      130.1750     360      Resistor                                                                                                    
Q4         BSS138                                                  TopLayer    SOT23-N                          62.0500      119.7500     360      "N-Channel MOSFET"                                                                                          
C16        10nF                                                    TopLayer    CAP_0603i_1608m_-N               48.2500      124.4750     90       capacitor                                                                                                   
C12        22nF                                                    BottomLayer CAP_0603i_1608m_-N               53.3250      134.5000     270      capacitor                                                                                                   
C4         1nF                                                     BottomLayer CAP_0603i_1608m_-N               57.9750      131.0500     360      capacitor                                                                                                   
C2         22uF                                                    BottomLayer CAP_0603i_1608m_-N               65.3500      123.0000     360      capacitor                                                                                                   
C5         22nF                                                    BottomLayer CAP_0603i_1608m_-N               61.2500      123.0500     180      capacitor                                                                                                   
C7         22nF                                                    BottomLayer CAP_0603i_1608m_-N               58.0750      121.4500     360      capacitor                                                                                                   
C8         22uF                                                    BottomLayer CAP_0603i_1608m_-N               65.4250      144.2000     360      capacitor                                                                                                   
